Review,Rating
Perfect product!,5
Perfect product!,5
Highly recommended,5
Classy product,5
Worth every penny,5
Perfect product!,5
Simply awesome,5
Highly recommended,5
Worth every penny,5
Terrific,5
Simply awesome,5
Brilliant,5
Perfect product!,5
Fabulous!,5
Worth every penny,5
Great product,5
Worth every penny,5
Good choice,4
Best in the market!,5
Highly recommended,5
Perfect product!,5
Perfect product!,5
Highly recommended,5
Classy product,5
Worth every penny,5
Perfect product!,5
Simply awesome,5
Highly recommended,5
Worth every penny,5
Terrific,5
Simply awesome,5
Brilliant,5
Perfect product!,5
Fabulous!,5
Worth every penny,5
Great product,5
Worth every penny,5
Good choice,4
Best in the market!,5
Highly recommended,5
Perfect product!,5
Perfect product!,5
Highly recommended,5
Classy product,5
Worth every penny,5
Perfect product!,5
Simply awesome,5
Highly recommended,5
Worth every penny,5
Terrific,5
Simply awesome,5
Brilliant,5
Perfect product!,5
Fabulous!,5
Worth every penny,5
Great product,5
Worth every penny,5
Good choice,4
Best in the market!,5
Highly recommended,5
Perfect product!,5
Perfect product!,5
Highly recommended,5
Classy product,5
Worth every penny,5
Perfect product!,5
Simply awesome,5
Highly recommended,5
Worth every penny,5
Terrific,5
Simply awesome,5
Brilliant,5
Perfect product!,5
Fabulous!,5
Worth every penny,5
Great product,5
Worth every penny,5
Good choice,4
Best in the market!,5
Highly recommended,5
Perfect product!,5
Perfect product!,5
Highly recommended,5
Classy product,5
Worth every penny,5
Perfect product!,5
Simply awesome,5
Highly recommended,5
Worth every penny,5
Terrific,5
Simply awesome,5
Brilliant,5
Perfect product!,5
Fabulous!,5
Worth every penny,5
Great product,5
Worth every penny,5
Good choice,4
Best in the market!,5
Highly recommended,5
Highly recommended,5
Wonderful,4
Really Nice,4
Excellent,5
Worth the money,4
Value-for-money,4
Wonderful,5
Wonderful,5
An excellent option for the price,5
Just okay,3
Good choice,4
Super!,5
Wonderful,4
Super!,5
Just okay,3
Fair,3
Nice product,4
Great product,5
Good,4
Very Good,4
Highly recommended,5
Wonderful,4
Really Nice,4
Excellent,5
Worth the money,4
Value-for-money,4
Wonderful,5
Wonderful,5
An excellent option for the price,5
Just okay,3
Good choice,4
Super!,5
Wonderful,4
Super!,5
Just okay,3
Fair,3
Nice product,4
Great product,5
Good,4
Very Good,4
Highly recommended,5
Wonderful,4
Really Nice,4
Excellent,5
Worth the money,4
Value-for-money,4
Wonderful,5
Wonderful,5
An excellent option for the price,5
Just okay,3
Good choice,4
Super!,5
Wonderful,4
Super!,5
Just okay,3
Fair,3
Nice product,4
Great product,5
Good,4
Very Good,4
Highly recommended,5
Wonderful,4
Really Nice,4
Excellent,5
Worth the money,4
Value-for-money,4
Wonderful,5
Wonderful,5
An excellent option for the price,5
Just okay,3
Good choice,4
Super!,5
Wonderful,4
Super!,5
Just okay,3
Fair,3
Nice product,4
Great product,5
Good,4
Very Good,4
Highly recommended,5
Wonderful,4
Really Nice,4
Excellent,5
Worth the money,4
Value-for-money,4
Wonderful,5
Wonderful,5
An excellent option for the price,5
Just okay,3
Good choice,4
Super!,5
Wonderful,4
Super!,5
Just okay,3
Fair,3
Nice product,4
Great product,5
Good,4
Very Good,4
"Good laptop for the money. Windows is unusable for me with default configuration (HDD, 4Gb ram). Upgrade ram as soon as you get it for better performance on dual channel memory. There is one empty ram slot and Lenovo manual says upto 12Gb total ram is supported. That is 8 GB ram can be installed in the slot. I've only added 4g. Please remember that 2Gb will be dedicated to the GPU and there's no option in bios to change this. So I had only 6Gb available ram for programs and services. It has o...",4
"Don't waste your money for assemble pc😎.

It's good to know about laptop thing. Premium budget laptop better than assemble desktops.

Good buy if your budget is low and you wanted a fine good looking thing for basic uses like net surfing, watching movies with your partner 😍 and of course study also.
Buy this.",5
"Lenovo IdeaPad s145 ryzen3 4gb 1tb

Performance-4
Design-4.5
Battery- using internet 4 to 4.15 hours
Using zoom app apporximatly 4hours
Offline applicaton without any internet around
6hours
Offline movies 4hours
Booting time: around 20-30sec
Over all good for students.
I have given detailed analysis about battery
Because I see people are more varied about battery.
Note:all battery information I have provided are under battery sa...",4
"Vary nice ❤️❤️ laptop ❤️❤️😲😲 speed is best i3 and 7gan se better bud battery 4 hours ago good ❤️❤️❤️🥰🥰🥰 prosser🥰 fasst............. Ok,,,,,,",5
"So the very first thing is 4gb ram which is way too low to do anything on this stylish and slim laptop. But thankfully it comes with an empty slot for the same. I had to buy kingston ddr4 8gb 2666mhz ram for Rs.2500 to actually get this laptop to work as otherwise it would utilize 80-85% ram on just opening a web browser. 8gb is the maximum additional upgrade allowed. You can buy 2400mhz or 2666mhz. Apart from that, you get original windows and ms office at this price! Antiglare screen is goo...",3
"First of all I got this gadget in a very low price which was a cool deal with this specifications. No doubt specs are too good but here are some pros and cons after usage of two weeks approx.

Pros:

Design is really good and keys are smooth

Storage is also good

RAM

Genuine windows 10

Genuine microsoft office

AMD ryzen 3 processor

Light weight

Big display

Sound quality is crisp at a defined point

Battery charging time is almost 3 to 3.5 hours from 0 to 100

AMD enabled radeon graphic...",3
"Got this laptop in 24000 only . Best laptop For personal nd simple work . But If you want to do heavy work then you should buy SSD RAM variant for fast performance. Which having cost of 28000 I think .
Overall good laptop
Battery backup is 2-2.5 hours if you continuously use it.",4
It's a great laptop I got it under 29k best buy for me and just add 4gb ram to it and see the magic happen it's too good,5
"Product is worth five stars for the price of 22k-24k.
Though I bought this @29k during lockdown since my old laptop crashed.
If you can wait for the price drop to 22k-24k, go for this without any second thought.
But for the price of @29k, i would recommend to go for ASUS having same specs but much better battery backup.

Pros:
1. Design is good, display is good.
2. Ryzen 3 is much better compared to i3 7th gen.
3. Comes with MS office
4. Speakers are good.

Cons:
1. Mouse touch pad is n...",4
"I am using this laptop since 1year. No complaints. Running perfectly. But it is little bit slow response. It's because the storage device is hdd which has slow read rate. When I upgraded to ssd and 8GB ram , it is performance beast. It is also capable of running games in medium settings.
Overall I will four star. Acer aspire 7 is more better than this. If we considering the budget. It is the best laptop",4
"I think this is one of the finest laptop i ever bought
Looks good , best battery backup, performance is very fast with ryzen 3 dual core, Ryzen 3 dual core is far better than Intel i5 10th gen
It will give u battery backup of around 5 hrs
Go for it guys",5
"I'm gong to brief about the Pros and Cons only.

Pros -
1. Ryzen 3 Processor
2. AMD Vega 3 Graphics
3. FHD Screen
4. Light weight
5. Windows 10 and MsOffice pre installed
6. Looks

Cons -
1. Battery backup
2. TouchPad
3. Webcam

Now on a simple note for day to day office work or students assignments, surfing its a great deal. If you are thinking of gaming then don't go for it. Else product is good.",4
"I SO HAPPY THIS IS MY FIRST LAPTOP THANKS FLIPKART GIVE ME FAST DELIVERY AND GOOD SERVICE
THERE IS NO FRAUD FROM FLIPKART YOU CAN TRUST THE FLIPKART",4
"Build Quality is Not so Good, Track-pad is decent enough for daily use.
Performance is good considering the price Thanks to Ryzen 3 3200U (Recommend to buy Variant with Ryzen 3 4000 series).
Main bottleneck for this laptop is the HDD. Because of hard disk this laptop doesn't feel snappy(AMD is not to be blamed).
I recommend Upgrading to SSD or buy a variant with SSD.
Display is very good with decent viewing angles.
4 Hours + battery life with fast charging.",5
"Honest Review

I am writing this review after using this laptop for almost 2 months. Overall quality is average unless you have upgraded RAM. I an waiting to purchase an 8GB RAM because RAM consumption is too much by the Windows App, 600MB is reserved by hardware as well. I haven't used any SSD powered laptop so I can't say buying it will speed up your performance or not but am sure with the RAM.

So when I play game (GTA IV) on this laptop. CPU usage is always around 30%-40% RAM usage is a...",4
"It's really. Value for money.
Performance wise it's good. Not to expect quick boot and fast multi tasking. But it's quite ok for daily single task activities.
Laptop is not much sturdy. Noisy keyboard and noisy mouse pad. Probe to Scratch.
180 degree display is very supportive and still not giving confident not over usage.
Though these are all not in harsh note. It's overall good product in this price point.",4
"A good laptop in the price segment .
Dont exoect it to run heavy gaming or work, it's good to go for moderate users like bwosing studying and work.",5
"Overall a good product for this price!!
Display is good.
Battery backup is around 4 hours.
Speaker clarity is awesome.... But not more loud.
Performance is better than i3 7th gen processor.
Ram upgrade is must for improving the speed of the machine.",5
"A really good product considering that it's so affordable, I recommend it to anyone who needs it for basic tasks like surfing, typing, school and office work in general.
However, I would recommend that you upgrade the RAM a 4GB upgrade would be ok, but I recommend adding another 8GB as a lot of it is taken by background processes (I was even able to play GTA V with the 8GB upgrade)
The only little problem I have aside that is the display is a little off coloured.",5
"good laptop at reasonable prices .charger size is small, but speed is not up to the mark. ok for basic college work",3
Got this 1 in offer by flipkart big billion days for just 2500....many suggestions i received in terms of low budget laptop..but i wanted to try this product...but this has led me so far aftr months of usage..it comes with great display atleast compared to other brands in this range...but rest all depends upon the user how he manages his pc. but to me its little slow in terms of opening an application but its fine manageable...overall its the most decent 1 i came accrossin this price range.,4
"Worked fine till 6-7 months after that started lagging.
Very slow performance. Battery backup is just 2 hours.
Low end pc. Motherboard got damaged in just 11 months. The new motherboard replaced by lenovo is not working properly. I think it's not good for heavy usage. The laptop is not as good as expected.",3
It's awesome laptop doing great work when u creat account first time it's take time after that it's works excellent and battery is average and I get in 25k on big billion days and it's work smoothly,5
"first of all battery backup is not good
design is good
webcam is totally poor quality
low grade plastic is used so build quality is zero
performance is also not so good it takes approx 40_50 seconds to boot after installing all the drivers
instead go for acer aspire ryzen 3 with better build quality and performance",3
"This one is good if you are looking for general usage.
Ram need to be extended for better performance.
Camera should be enhanced more , currently it is poor.
Other than this is ok for a student.",3
"It's not the best laptop I've ever used but it's certainly the best bang for buck at this price. I invested some more into the laptop (added 8gb ram, replaced hdd with ssd) and the performance shot through the roof!

I have two issues though - the display chassis is a little too flimsy (wasn't expecting much at this price anyway), and the display itself is sub-par. I had to calibrate it manually to make it bearable but all's well if ends well.

In short, you can't get anything better at this...",5
"This is my first ever purchase of laptop. I am using it for last 6 months and after that I'm reviewing the product.
1. The battery performance is medium. In power saving mode the performance is better. Upto 4 to 4.5 hours.
2. The screen sometimes become grey so clarity is medium.
3. Dolby sound system is very good.
4. The touch pad system is not upto the mark. It's better to use a mouse.
5. The build quality is also good in this price.
6. For better performance you just need to upgrade the R...",4
"This is not a student laptop, but I would like to say it's also for professionals.

I can perform following things very smoothly:

Web development with .net framework
Adobe Photoshop
Android development
Multitasking
Smooth video editing like filmora
AutoCAD
MATLAB. Etc
YouTube professionals work



Below are the issues
In short it is not a software developer or engineers laptop.
Better you look for i7 + 16 GB ram with 500ssd

-one more thing Ryzen 3 is best as compare to i3 for sure.",5
Laptop is very good performance is very good and battery performance is also nice and charging is 65 word which charge the laptop at very low time performance is super at this the price point,5
"Lenovo is preloaded with default apps which makes the performance slow. Better to disable all those apps not to run on the start up to improve performance. Even I was literally feeling like returning but being an engineer thought give few more days.. suggest Lenovo team also to reduce the preloaded apps or send the technician who comes and does the first time installation and set up. This might be useful for common man

Lookwise it is awesome
500+ mb is dedicated to for display
So we get 3.5 ...",3
"Perfect home laptop. Good graphics.
And appealing outlook. 15.1inch. and compact and wonderfull. It doesn't have the CD slot. The only disadvantage I found.

Apart from that's this is good with, teams, photoshop, Adobe premiere etc. Its awesome for those type of softwares. And its like good enaf.",4
"Got it for 24k, good for the mentioned price, don't go for it above 25k, good thing is it can be extended ram and SSD, display is decent and viewing angle is not upto the mark.",4
"Well, using it for several days and it never disappointed me so far. I was a little bit confused about AMD but then found Ryzen 3 3200U is actually better than Intel's i3 8th gen and it can compete even 10th gen in terms of clock speed.

Looks like one must update RAM since it's 4gb isn't enough for multitasking cause it's Slow and Sometimes hangs. And for further betterment one can go for SSDs(NVMe only otherwise replace the HDD)

Display is quite decent in comparison (in that price segment)...",3
"Pro
Decent product and built quality compared to price of laptop.
Two side bezel definitely look good.
R3 is great for light work ideal for office work which doesn't involve heavy software.
Most importantly it is cheaper than I3.
Keypad is great and button quality and finish is goods
Preinstalled Windows and MS office greatly reduce your installation hassle and makes it perfect for non-tech users.

Cons
It made in China.
Though it has a Graphic card it is not a gaming laptop.
Screen is brigh...",4
"Awsome laptop in affordable range!
Must good going laptop for students and basic uses!
Package is nicely.. full care has been taken..
Overall its worth it!",5
"This is a must buy laptop if you wish to get a laptop in 30k as it includes graphics too If you wish to get a laptop for normal use it is the best laptop don't go for a second think to buy this , the display and the features are ausumn

One thing you need to keep in mind is the battery it last for 2, 3 hours on heavy usage.
It sometimes hangs but after updates the laptop is working fine (it's an honest review)


I am Giving the review after using the laptop for a month",4
Laptop is Best in 27K but 4Gb Ram is not Sufficient if you are a casual user then buy it other Wise its waste of money not recommended for Gaming or Editing,4
I bought this laptop in big billion day sale. It has only 4gb ram. Better to upgrade extra 4gb. After adding extra ram it's work like charm. Battery backup is not that much good. But at this price what you expect. Sound quality is very low after enabling Dolby audio. If your budget is between 25k to 34k definitely buy this one . MS OFFICE is with life time validity. And McAfee Antivirus with 1 month of trial version,4
"This laptop is good for a student like working in ms excel,word,powerpoint and editing and checking email.this laptop only comes in 4gb ram whch is soldered to the motherboard so u can grab another 8gb of ram from flipkart so u can make it much more powerful but not good as expected.",4
"Excellent product. Early delivery by Flipkart. Good packing. No issue in operation of machine. No issue in activating preinstalled Windows 10 and MS Office 2019. Mcphy antivirus was preinstalled aswell. Overall a good purchase in INR 24490 including one year warranty. Those who are planning to buy core i3 9th generation may consider it as it's performance is no lesser than i3 8th generation and in most of the aspects of performance and several games, it leads i3 9th generation. One more USB p...",5
"The laptop is very good in terms of daily office work and study, Do not expect it to out perform the specs. It is a decent laptop which will give you enough to get going. But if you want high speeds and extreme multi tasking, then go for a better one. If Study and office work( Spreadsheets, multiple chrome windows, drive etc.) is your concern then its just fine.",5
I got this laptop in 23k in bbd sale . Design wise this is beautiful laptop but handle with extra care Display of this laptop is not bad it is full hd and too bright but viewing angle make me unhappy other wise gud display. Performance of this is gud for beginners but for multitasking i have addes 8 gb 2400mhz ddr4 ram in extra slot now multitasking is very smooth . Battery is weak point in this laptop it last in 2 to 3 hrs max.but if u have very tight budget go for it in place of second ha...,5
This review is based on few hrs use without any more aap download pre installed windows 10 and ms office this is great but I check battery very keenly because battery is main component of laptop. Use only screen with internet for video backup is 3:30hrs . Use any task with involved processor power . Backup time is 1:45Hrs which is not gud but in this Corona time all laptops and mobile are very high in price no laptops offer this type of specification in this price range design is ok not ...,4
"I purchased it for my younger one. Performance is pretty good and I like the way it is slim and handy at this price range.

Recommended product.!",5
"The feel and design is pretty sleek and its genuinely light weighted. Battery performance is average but its good for office work &/or for Work from Home purpose. Biggest down side is that the speakers in this laptop is very low. Ryzen 3 vs Intel 3 was a challenge but if you are saving 2-3K with Ryzen, go for it. Overall satisfied with the product.",3
Go for it...🔥,5
laptop is okk in this price range .....bt i faced issues with display ...camera...bluetooth drivers.....lenovo website is also not providing any proper solution regarding driver installation......rest of things r okkk......flipkart delivery is grt as usual......bt overall .. I'm personally not satisfied with this product.,3
I am so much happy with flipkart delivery and my product is so much good,5
"Awesome laptop, buy this from tatacliq in just 22k here almost 25k",4
"nice laptop
display 5/5
battery 4/5
full hd display
view angle 4/5",4
The main think is battery.. which is not up to mark,3
all of good performance but only one issue battery is not good,4
good product at this price range but i am sick of hearing fan voice in this,3
start up take more time than usual and battery us 35wh better if lenovo upgrade to more no fan speed no heating problems and fast charging inbuilt mccafe av superdb this is my 2nd lap first one i3 dell compared to dell lenovo is good,5
"Product is good..
Performance is also good..
MS OFFICE lifetime free with linking to your Microsoft account... Don't forget to activate it..
Display Ok..
Battery OK (around 4 hours).
Speaker Good after updating Drivers and setting to Dolby...
Warranty is to update by ownself at lenovo",5
Value for money,5
"1.battery-8
2.dispay-9
3.brightness-8
4.sound-7
5.charging-8
6.weight-9
7.build quality-7
8.heating -8
9.value for money -9
10.packaging-9

My overall rating 82/100
You can buy it without any confusion if you want buy laptop for Schoo/College works OR For daily tasks like Browsing,Office work.
Since it is lightweight and plastic built, Should handle it very carefully.",4
"Best for this price range!
Except for the battery life of 3-4 hrs.
Good FHD display!
Comes with Windows 10 & MS office 2019 pre-installed!",4
beyond the level of what is expected. though I bought it for 22990/- with an AMD Ryzen processor it works amazingly. worth for money. no need to spend too much of money unwantedly for Intel Processors.,4
"great design
great display with narrow bezel
upgrade ram and ssd it will be a perfect laptop for average gamming",5
Best choise in 29990,5
"Slower than turtle 🐢, battery consume like 1000cc sports bike, look like charm 💓",1
"Wost don't take this product, no one will care after your order reched to u n u won't get return oftions

1. Fast draining battery
2. Slow working
3. System applications won't work properly
4. Think sencond sells",1
Worth for your money nice product,4
"Value of money best laptop in range
Good battery backup
Fast charge
Normal speed",4
"This Laptop's look was very good but battery was so bad it's give you only 2.5 hours for gaming, 3 hours for normal work.

Display => ⭐⭐⭐

Battery => ⭐

Speakers => ⭐⭐

Looks => ⭐⭐⭐

Performance => ⭐⭐⭐

Hardware => ⭐⭐⭐

WebCam => ❌",1
"Faulty unit..OS crashed Several times wuthin 15 days
User has to spent 5+7 hrs to do all things as per ONLINE support and later they saying HArddisk crash.

Unit dead and lenovo not having serviceable part and neither reolacing unit.Flipkart saying ..it is not our business.

Prefer Local Shop",1
Best product for beginners ...easy to understand ❤️❤️❤️best one.. thank u 😊Flipkart..loved it,5
Amazing product.,5
The laptop is average...what's really disappointing is the display...when put on full brightness it still cannot make things bright....bad viewing experience.,1
"I have purchased this laptop on 26.06.2020 , it is very smooth to handle , games can be played , Perfect laptop for daily use
I have purchased it for 24990 , Finally you can go for it undoubtedly",5
"less than decent battery backup (less than 2.5 hrs), other aspects appear ok (used for about one month till date, mainly zoom meetings), sound from in-built speakers could have been louder",4
"very bad , it hang always ,cant browse even email",1
"Literally struggling from past two days, this laptop is getting me sick. Boot time is almost 5+ minutes and windows tiles freeze when executed app search. Cortona 🙏 pathetic with this low end machines. YOU SHOULD ORDER RAM ASAP WITH THIS LAPTOP, ELSE YOU SHOULD HAVE A PATIENCE LIKE MONK TO WORK WITH THIS. 🙏

If I open any application, it takes 25-30 seconds to appear/prompt.

And Excel/word should be left to god's rescue. HORRIBLE.

Not sure whether I got something defective or performanc...",1
Don't Buy.. Very Slow..,1
"Here is my honest review after using this laptop for 6 months(I belong to a technical background)-
Extremely disappointed with Leveno. I am regretting after buying this laptop. I hardly had any expectation with this laptop, still I am utterly disappointed. Their technical support team (on phone) is very incompetent and inefficient and unable to understand/resolve my issues on call. The issues I have been facing from day 1:
1. Fan does not work and hence the laptop is heating too much.
2. Blu...",1
Bad laptop.....lots of problems......it is not good as shown on paper.....not recommended at all.....,1
Good at this price range. Without thinking just go for it..,4
"Very slow,
Battery is not good. Drains very fast",1
"Nice laptop, smooth performance , all should go for it 😀",5
Best in this price range,5
It is good but it is slow,3
antivirus show for one year but given only 1 month .,3
Superb u should go for it.....without any doubt!,5
simply outstanding......top class performances,5
"Very very slow... Fully disappointed plz don't buy.
My all money is wasted",1
If you have budget of 30k then go for it.,5
"It just a awesome laptop in budget range
It good for students and for daily work ...😍😍😍😍",4
Battery backup is low. Sound is not good. Performance is OK,3
Laptop is good but it hangs sometimes. Laptop taskbar comes delay in screen,5
Ok.,3
horrible.stopped working within 3 days.,1
I purchased this product 5 days before.very worst experience...bad battery life..I requested for return the product,2
"Everything's are good, only the length of the charger is very short.",4
"This is a nice budget laptop and looks premium..
But the problem is the battery, if you will upgrade it with better SSD and ram it will give you decent performance.
it supports m.2 nvme...",3
"Design in this range is awesome. Performance is also good for normal work for students.
One problem : fan is noisy , now i feel i have to two fan in room one ceiling fan another laptops fan.",5
"Overall Laptop is good under 25 thousand but the problem is with its battery its battery life is upto 3 hrs maximum for normal use battery is not upto the mark and ryzen 3 processor is good for normal use, although it has FHD display but its viewing angle is not good... Main problem is with its battery lenovo should improve it...",4
nice product,5
"awesome look by lenovo and very fast delivery by flipcart
it's loveing",5
my touchpad is not working how to fix it,2
"Display sucks, poor viewing angles, backlight burns through the panel

Battery life is under 4 hours

Otherwise great, Disable antivirus and update windows for faster experience, ram upgrade recommend",3
After 2 month uses it slow.googl app hi 5 se 10 minute mein open hota hai.,2
Best one to this price (23k) the main dispointment was ram its only 4gb. Due to this less ram performance get little bit lower,4
The battery even after charging 100% does not stay for even for 35mins.,1
"Worthy purchase even in 28k. All-rounder performance. Added extra 4GB DDR4 2400 RAM + NVMe m2 128 GB SSD. Now it loads four times faster than out of the box speed. Recommends for students , programmers and media streamers. Yet it plays most of the games having mid range graphics, not recommends for gaming or studio editing purposes.",5
"The laptop if using for multitasking without gaming then it needs to upgraded with SSD/RAM.

Else it will take few minutes to open applications and multitasking is very difficult especially if you are online and presenting.",3
A decent laptop for the money you paid 👍👍,4
Overall good performance no hanging issue sleek slim light small as per latest laptops comes in this price good with lenovo brand I use lenovo 9-8 years lenovo I have face no issue yeah price is fluctuated but good under 26-27k price,5
"Amazing laptop under 25k .
Display is awesome.
Performance good.
Battery average.
Overall a good package under rs 25k...",4
It is to good product but one problem is there its battery backap is poor,5
Average laptop. Don't expect it to be decent quick. Opens up applications after more than 30 secs. Would not recommend it for heavy or moderate use.,3
"A best laptop at this range...
It is very stylishly designed.....
Display is good....
Amd ryzen 3 and 8th gen
Mcafee is free for one month but they have mentioned 1 year.....
Defects are:
A cheap quality battery
Battery life is tooo low....
Sound quality is bad.....
They have mentioned dolby audio but it's tooooo low....
Camera quality poooor.. 😬
Except this it's the.... Best....
Don't worry just buy it❤😍",4
"Just Upgrade RAM To 8gb and see the performance!!!
Budget Gaming!!!",5
"The laptop is very slow and gets stuck a lot but...you can get rid of that problem if you increase the Random Access Memory.
In the beginning my laptop was performing extremely slow.
Then I added 8GB of the memory (Crucial Brand) and after that the performance improved significantly. 4GB of the memory is inbuilt, so if you add 8GB of that, the memory will become 12GB, which is enough for even gaming.
Ryzen 3 processor is nice.
So without the increased memory, the Laptop is trash but after you...",3
Performance is very poor. The newest laptop hangs so badly,1
One of the worst laptops I have seen. It doesnt give the performance of Ryzen 3 processor. It is running far too slow than expected. Dont ever buy this laptop never look at 3.9 rating. Only way to make this laptop work good is to upgrade the RAM. Also the battery is too low. Power only lasts for 2.5 hours. This review is given after first time use. Also disk usage shows 10% in a brand new laptop.,2
Very slow..if you open anything it takes lots of time to open...but other than that it's good...sound is very less..picture quality is nice.. although it's not up to the mark..next time if I buy laptop I'll definitely go for intel processor...AMD is worst,2
Fabulous design with great keypad and touchpad,5
"Very slow processing,less battery backup
Don't go with this laptop if u want to do heavy tasking.
It takes time to even open Google Chrome.",2
Simply waste,1
"This is best under budget and value for money , for better speed increase the RAM since it's only 4 gb",5
Laptop is slow but if you are going for this consider upgrading RAM to 8 or 12 gb else go for 4gb 256 ssd or 8gb 1tb hdd. After upgrade it works like a charm.,3
